risk,price,pos,player,points,firefactor
Low,2,WR,devante parker,82.24,-1.51
High,3,RB,arian foster,150.85,71.97
Low,2,TE,julius thomas,110.98,32.13
Low,7,WR,allen robinson,102.39,18.64
High,1,WR,percy harvin,79.62,-4.13
Low,4,RB,ameer abdullah,101.75,22.87
Low,3,RB,bishop sankey,82.81,3.93
Low,1,WR,jeff janis,65.71,-18.04
Low,55,RB,le'veon bell,237.73,158.85
Moderate,43,TE,rob gronkowski,167.81,88.96
Low,4,WR,larry fitzgerald,116,32.25
Low,54,RB,eddie lacy,230.16,151.28
Low,1,K,josh brown,125.88,0
Low,2,WR,anquan boldin,119.01,35.26
Low,34,WR,t.y. hilton,189.04,105.29
Low,2,WR,kendall wright,95.55,11.8
Low,1,K,stephen gostkowski,136.73,1.09
Moderate,39,WR,julio jones,199.78,116.03
Low,23,QB,russell wilson,295.58,65.27
Low,1,TE,jordan reed,86.85,8
Low,2,RB,terrance west,75.55,-3.33
Low,14,RB,latavius murray,160.33,81.45
Low,1,K,mason crosby,135.69,0.98
Low,9,WR,brandon marshall,132.74,48.99
Low,41,RB,jeremy hill,188.46,109.58
Low,1,K,justin tucker,137.39,1.15
Low,1,TE,richard rodgers,65.39,-13.46
Low,17,WR,desean jackson,152.66,68.91
Low,1,TE,heath miller,78.3,-0.55
Low,1,QB,carson palmer,231.33,1.02
Low,1,K,blair walsh,111.22,-1.47
Low,1,QB,eli manning,244.48,14.17
Low,51,WR,antonio brown,223.72,139.97
Low,6,WR,nelson agholor,110.9,27.15
Low,1,RB,robert turbin,62.66,-16.22
Low,1,WR,kenny stills,94.65,10.9
Low,12,RB,joseph randle,137.54,58.66
Low,26,RB,carlos hyde,151.09,72.21
Moderate,3,WR,marques colston,112.18,28.43
Low,2,RB,fred jackson,89.13,10.25
Moderate,3,TE,jordan cameron,75.57,-3.28
Low,2,TE,zach ertz,96.85,18
Low,48,RB,demarco murray,213.8,134.92
Low,1,QB,ryan tannehill,253.42,23.11
Low,22,QB,peyton manning,316.36,86.05
Low,1,QB,jay cutler,240.2,9.89
Low,30,RB,alfred morris,165.67,86.79
Low,1,TE,coby fleener,78.85,0
Low,2,WR,devin funchess,104.29,20.54
High,10,RB,c.j. spiller,116.55,37.67
Low,2,WR,eddie royal,90.64,6.89
Low,10,WR,golden tate,146.28,62.53
Moderate,5,WR,roddy white,133.9,50.15
Low,50,RB,c.j. anderson,192.48,113.6
Low,5,WR,torrey smith,129.16,45.41
Moderate,1,WR,cecil shorts,72.55,-11.2
Low,1,TE,antonio gates,98.08,19.23
Low,9,WR,mike wallace,113.8,30.05
Low,7,RB,isaiah crowell,114.13,35.25
Low,52,RB,marshawn lynch,257.52,178.64
High,1,TE,kyle rudolph,70.69,-8.16
Low,4,QB,matt ryan,306.92,76.61
Moderate,1,WR,kenny britt,87.48,3.73
Low,1,K,dan carpenter,120.5,-0.54
Low,1,WR,markus wheaton,65.1,-18.65
Moderate,1,WR,dwayne bowe,96.98,13.23
Low,1,K,steven hauschka,138.69,1.28
Low,8,WR,jeremy maclin,136.15,52.4
Low,38,WR,calvin johnson,206.19,122.44
Low,36,WR,alshon jeffery,183.73,99.98
Moderate,32,RB,mark ingram,160.3,81.42
Low,2,QB,cam newton,271.11,40.8
Moderate,12,RB,andre ellington,142.64,63.76
Low,4,RB,tevin coleman,108.88,30
Low,1,TE,delanie walker,87.45,8.6
Low,1,K,phil dawson,114.72,-1.12
Low,2,QB,tony romo,271.35,41.04
Low,1,TE,austin seferian-jenkins,63.57,-15.28
Low,4,WR,michael floyd,105.75,22
Low,17,RB,todd gurley,146.62,67.74
Low,31,WR,emmanuel sanders,161.72,77.97
Low,47,WR,demaryius thomas,223.17,139.42
Low,3,WR,brandon lafell,113.93,30.18
Low,13,WR,amari cooper,112.62,28.87
Low,1,WR,cole beasley,68.32,-15.43
Low,1,WR,marqise lee,65.04,-18.71
Low,49,RB,matt forte,222.06,143.18
Moderate,2,RB,darren mcfadden,70.53,-8.35
Low,6,WR,martavis bryant,113.84,30.09
Low,1,K,matt bryant,131.55,0.57
Low,1,K,adam vinatieri,134.48,0.86
Low,45,RB,lesean mccoy,208.32,129.44
Low,1,RB,matt jones,60.22,-18.66
Low,5,RB,shane vereen,80.87,1.99
Moderate,2,QB,tom brady,218.96,-11.35
Moderate,8,RB,legarrette blount,141.71,62.83
Low,7,RB,chris ivory,123.35,44.47
Low,2,RB,knile davis,71.38,-7.5
Low,1,TE,tyler eifert,68.1,-10.75
Low,1,K,caleb sturgis,122.32,-0.36
Low,27,TE,jimmy graham,145.69,66.84
Low,1,WR,rueben randle,78.02,-5.73
Moderate,2,RB,reggie bush,77.91,-0.97
Low,7,TE,greg olsen,113.42,34.57
High,4,RB,doug martin,93.35,14.47
Low,1,WR,marvin jones,78.31,-5.44
Low,1,K,dan bailey,136.97,1.11
Moderate,1,TE,vernon davis,60.44,-18.41
Low,1,QB,joe flacco,249.19,18.88
Low,16,RB,joique bell,127.7,48.82
Low,18,QB,drew brees,330.66,100.35
Low,2,WR,john brown,86.95,3.2
Low,3,RB,danny woodhead,75.09,-3.79
Moderate,1,RB,darren sproles,68.69,-10.19
Low,1,WR,terrance williams,94.47,10.72
Low,1,K,cody parkey,133.61,0.77
Low,3,RB,alfred blue,91.38,12.5
Low,4,RB,tre mason,78.88,0
Low,1,WR,reggie wayne,83.75,0
Moderate,7,RB,ryan mathews,87.87,8.99
Low,10,RB,rashad jennings,146.87,67.99
Low,6,TE,travis kelce,122.24,43.39
Low,2,WR,pierre garcon,87.02,3.27
Low,5,TE,martellus bennett,116.76,37.91
Low,22,RB,melvin gordon,161.25,82.37
Low,4,TE,jason witten,119.84,40.99
Low,1,K,matt prater,111.46,-1.44
Low,15,WR,vincent jackson,116.96,33.21
Low,1,QB,andy dalton,221.63,-8.68
Low,1,K,nick folk,113.54,-1.23
Low,7,WR,jarvis landry,111.2,27.45
Low,1,WR,jermaine kearse,75.11,-8.64
Low,1,TE,larry donnell,70.29,-8.56
High,54,RB,adrian peterson,242.51,163.63
Low,1,QB,philip rivers,265.36,35.05
Low,1,RB,kendall hunter,60.27,-18.61
Low,4,WR,charles johnson,110.56,26.81
Low,1,QB,matthew stafford,278.01,47.7
Low,11,RB,giovani bernard,96.87,17.99
Low,10,WR,davante adams,129.04,45.29
Low,42,WR,dez bryant,203.51,119.76
Low,7,QB,ben roethlisberger,256.04,25.73
Low,30,WR,deandre hopkins,151.8,68.05
Low,1,K,nick novak,127.01,0.11
Low,19,RB,frank gore,158.35,79.47
Low,2,RB,charles sims,82.36,3.48
Low,2,TE,dwayne allen,92.97,14.12
Low,1,QB,marcus mariota,221.4,-8.91
Low,1,RB,benny cunningham,65.54,-13.34
Low,1,QB,teddy bridgewater,230.31,0
Low,28,WR,jordan matthews,145.48,61.73
Low,1,RB,jay ajayi,62.65,-16.23
Low,25,RB,justin forsett,167.07,88.19
Low,2,RB,david cobb,72.69,-6.19
Low,2,WR,breshad perriman,86.01,2.26
Low,11,RB,t.j. yeldon,143.21,64.33
Low,1,WR,allen hurns,80.51,-3.24
Low,6,WR,eric decker,112.19,28.44
Low,1,K,chandler catanzaro,118.99,-0.69
Low,2,RB,lorenzo taliaferro,61.58,-17.3
Low,2,RB,david johnson,65.93,-12.95
Low,9,WR,andre johnson,136.25,52.5
Low,1,TE,charles clay,71.79,-7.06
Low,53,RB,jamaal charles,262.39,183.51
Low,2,RB,denard robinson,74.96,-3.92
Low,37,QB,aaron rodgers,345,114.69
Low,40,WR,odell beckham,191.23,107.48
Low,1,TE,owen daniels,82.67,3.82
Moderate,37,WR,randall cobb,197,113.25
Low,32,QB,andrew luck,318.89,88.58
Low,1,WR,brian quick,102.67,18.92
Low,33,WR,mike evans,165.39,81.64
Low,1,WR,doug baldwin,88.59,4.84
Low,37,WR,a.j. green,176.82,93.07
Low,20,WR,keenan allen,132.76,49.01
Low,1,WR,brian hartline,83.61,-0.14
Low,1,QB,alex smith,220.22,-10.09
Moderate,24,WR,julian edelman,128.51,44.76
Moderate,29,RB,lamar miller,151.57,72.69
High,1,QB,sam bradford,233.24,2.93
Low,29,WR,brandin cooks,148.35,64.6
Low,1,RB,james starks,74.91,-3.97
Low,1,WR,michael crabtree,79.53,-4.22
Moderate,2,WR,victor cruz,113.61,29.86
Low,20,WR,sammy watkins,146.5,62.75
Low,1,K,connor barth,137.54,1.17
Moderate,1,RB,ronnie hillman,65.2,-13.68
Low,3,RB,devonta freeman,103.03,24.15
Low,1,QB,colin kaepernick,230.3,-0.01
Low,21,RB,jonathan stewart,144.71,65.83
Low,2,RB,deangelo williams,60.03,-18.85
Moderate,1,WR,malcom floyd,97.73,13.98
