Team,Player,Keeper_Cost
Mike,AntonioBrown,55
Mike,TyMontgomery,20
Mike,DevontaFreeman,32
Adam,LamarMiller,34
Adam,JulioJones,50
Keenan,AmariCooper,27
Keenan,MelvinGordon,25
Keenan,JordyNelson,32
Keenan,MikeEvans,39
Zach,TomBrady,20
Zach,DavidJohnson,41
Dave,ToddGurley,35
Dave,AJGreen,42
Dave,JordanHoward,41
Evan,DemarcoMurray,25
Evan,BilalPowell,20
Matt,OdellBeckham,48
Matt,JayAjayi,30
Matt,MichaelThomas,20
Sam,IsaiahCrowell,20
Sam,AaronRodgers,22
Sam,GoldenTate,20
Joey,Le'veonBell,54
Joey,LeseanMccoy,41
Joey,BrandinCooks,32
Joey,TerrellePryor,28
Blake,DavanteAdams,22
Blake,DougBaldwin,26
Blake,TYHilton,33
